x,y,z,snr,cluster,timestamp
0.9911139607429504,3.117175817489624,2.4777848720550537,9.5,8,
-1.8760372400283811,3.1043243408203125,2.0011065006256104,11.300000190734863,8,
0.7716529965400696,3.202528715133667,2.7007853984832764,9.40000057220459,9,
1.9633495807647705,3.116612672805786,1.7179309129714966,10.0,9,
-2.1462337970733643,2.96638298034668,2.019984722137451,12.300000190734863,9,
-1.893735647201538,2.955616950988769,2.2724828720092773,16.899999618530273,9,
-2.2724828720092773,2.955616950988769,1.893735647201538,13.199999809265137,10,
-1.9114340543746948,2.9832396507263184,2.293720960617065,11.40000057220459,10,
-1.858338713645935,2.900372266769409,2.230006217956543,14.5,10,
-1.7344493865966797,2.976116180419922,2.230006217956543,17.899999618530273,10,
-1.487850785255432,2.967050790786743,1.8312009572982788,19.0,10,
-1.3875595331192017,3.0528833866119385,1.8500794172286987,19.200000762939453,10,
-1.5798828601837158,3.2224221229553223,1.822941780090332,9.90000057220459,10,
-1.5031895637512207,2.923118352890014,1.9657094478607176,20.399999618530277,10,
-1.6683751344680786,2.948275566101074,2.02588415145874,9.100000381469728,10,
-1.3734006881713867,3.1490936279296875,1.6023008823394775,15.800000190734863,10,
-1.5338668823242188,3.0588152408599854,1.887836217880249,18.100000381469727,10,
-1.858338713645935,3.075037956237793,1.9822279214859009,11.0,10,
-0.96279639005661,3.204724073410034,2.1662919521331787,13.90000057220459,11,
-2.353895664215088,2.950216770172119,1.610560178756714,9.40000057220459,11,
-2.02588415145874,2.948275566101074,1.6683751344680786,17.100000381469727,11,
-2.230006217956543,2.976116180419922,1.7344493865966797,16.0,11,
-2.0058257579803467,2.919085025787353,1.6518566608428955,12.600000381469728,11,
-2.066000699996948,3.006657600402832,1.701412320137024,14.800000190734863,11,
-2.2724828720092773,3.166499137878418,1.5149885416030884,9.600000381469728,11,
-2.0459423065185547,2.977466583251953,1.6848937273025513,18.0,11,
-2.25124454498291,2.927994966506958,1.8760372400283811,14.199999809265137,11,
-2.0766196250915527,3.221468210220337,1.9468308687210083,12.100000381469728,11,
-2.293720960617065,2.8976433277130127,2.038862943649292,11.40000057220459,11,
-1.9633495807647705,3.116612672805786,1.7179309129714966,16.700000762939453,11,
-1.94447124004364,2.939594268798828,1.94447124004364,14.699999809265137,12,
-1.92559278011322,2.9110546112060547,1.92559278011322,22.700000762939453,12,
-1.8760372400283811,2.927994966506958,2.25124454498291,10.40000057220459,12,
-1.8052432537078855,2.9060747623443604,2.0459423065185547,17.200000762939453,12,
-1.6683751344680786,3.0267105102539062,1.9067144393920896,19.399999618530277,12,
-1.3734006881713867,3.0217316150665283,1.8312009572982788,16.30000114440918,12,
-1.8052432537078855,2.987179756164551,1.92559278011322,17.200000762939453,12,
